DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
8230825,1,13,53.532928,1
8230825,1,14,1.196732,1
8230825,1,15,17.774895,1
8230825,1,16,8.151716,1
8230825,1,17,NaN,0
8230825,1,18,13.846083,1
8230825,2,1,43.464232,1
8230825,2,2,44.285218,1
8230825,2,3,22.898190,1
8230825,2,4,42.436302,1
8230825,2,5,52.408258,1
8230825,2,6,58.095377,1
8230825,2,7,NaN,0
8230825,2,8,53.165696,1
8230825,2,9,51.922354,1
8230825,2,10,57.920389,1
8230825,2,11,56.268834,1
8230825,2,12,58.342557,1
8230825,2,13,NaN,0
8230825,2,14,31.128549,1
8230825,2,15,55.700640,1
8230825,2,16,35.401883,1
8230825,2,17,NaN,0
8230825,2,18,25.735572,1
9230828,1,1,41.747217,1
9230828,1,2,49.061783,1
9230828,1,3,32.641366,1
9230828,1,4,27.535706,1
9230828,1,5,NaN,0
9230828,1,6,38.448837,1
9230828,1,7,38.487182,1
9230828,1,8,33.588653,1
9230828,1,9,51.462720,1
9230828,1,10,48.604357,1
9230828,1,11,NaN,0
9230828,1,12,32.451084,1
9230828,1,13,NaN,0
9230828,1,14,59.804042,1
9230828,1,15,53.813146,1
9230828,1,16,25.144557,1
9230828,1,17,33.503474,1
9230828,1,18,16.402815,1
9230828,2,1,23.600295,1
9230828,2,2,24.914084,1
9230828,2,3,44.966745,1
9230828,2,4,42.579201,1
9230828,2,5,34.413032,1
9230828,2,6,31.354755,1
9230828,2,7,30.771518,1
9230828,2,8,NaN,0
9230828,2,9,43.655164,1
9230828,2,10,44.484749,1
9230828,2,11,36.180087,1
9230828,2,12,26.920706,1
9230828,2,13,15.175828,1
9230828,2,14,22.557090,1
9230828,2,15,10.109077,1
9230828,2,16,35.776356,1
9230828,2,17,25.163704,1
9230828,2,18,12.261150,1
10230830,1,1,45.045929,1
10230830,1,2,19.112078,1
10230830,1,3,27.224219,1
10230830,1,4,18.059445,1
10230830,1,5,15.197035,1
10230830,1,6,27.977264,1
10230830,1,7,14.438645,1
10230830,1,8,44.493287,1
10230830,1,9,49.666637,1
10230830,1,10,37.313490,1
10230830,1,11,NaN,0
10230830,1,12,25.437771,1
10230830,1,13,42.303143,1
10230830,1,14,37.836197,1
10230830,1,15,40.286720,1
10230830,1,16,23.130467,1
10230830,1,17,29.079417,1
10230830,1,18,25.033860,1
10230830,2,1,18.395614,1
10230830,2,2,14.077067,1
10230830,2,3,31.968873,1
10230830,2,4,35.844963,1
10230830,2,5,24.821101,1
10230830,2,6,NaN,0
10230830,2,7,30.330334,1
10230830,2,8,12.246391,1
10230830,2,9,27.154650,1
10230830,2,10,30.784943,1
10230830,2,11,12.342252,1
10230830,2,12,29.642464,1
10230830,2,13,16.136957,1
10230830,2,14,22.203648,1
10230830,2,15,24.873189,1
10230830,2,16,8.291099,1
10230830,2,17,42.055126,1
10230830,2,18,13.270926,1
11230908,1,1,32.664729,1
11230908,1,2,NaN,0
11230908,1,3,12.672936,1
11230908,1,4,NaN,0
11230908,1,5,7.290171,1
11230908,1,6,57.256047,1
11230908,1,7,25.968014,1
11230908,1,8,31.892180,1
11230908,1,9,14.524134,1
11230908,1,10,54.243061,1
11230908,1,11,9.455240,1
11230908,1,12,11.404001,1
11230908,1,13,14.115069,1
11230908,1,14,34.310009,1
11230908,1,15,29.896987,1
11230908,1,16,NaN,0
11230908,1,17,29.326688,1
11230908,1,18,13.086875,1
11230908,2,1,43.058790,1
11230908,2,2,49.069948,1
11230908,2,3,50.695765,1
11230908,2,4,34.472366,1
11230908,2,5,57.756762,1
11230908,2,6,42.713731,1
11230908,2,7,33.533451,1
11230908,2,8,51.602583,1
11230908,2,9,NaN,0
11230908,2,10,18.481918,1
11230908,2,11,15.337833,1
11230908,2,12,32.988355,1
11230908,2,13,0.000000,1
11230908,2,14,52.742032,1
11230908,2,15,48.619054,1
11230908,2,16,43.148155,1
11230908,2,17,25.973607,1
11230908,2,18,34.343564,1
12230915,1,1,18.635539,1
12230915,1,2,9.934768,1
12230915,1,3,40.810065,1
12230915,1,4,45.851493,1
12230915,1,5,41.624648,1
12230915,1,6,54.641367,1
12230915,1,7,32.634623,1
12230915,1,8,19.647963,1
12230915,1,9,12.061999,1
12230915,1,10,14.578057,1
12230915,1,11,19.745410,1
12230915,1,12,19.083672,1
12230915,1,13,26.637182,1
12230915,1,14,19.170932,1
12230915,1,15,42.034656,1
12230915,1,16,22.134792,1
12230915,1,17,16.173146,1
12230915,1,18,35.223403,1
12230915,2,1,36.425162,1
12230915,2,2,NaN,0
12230915,2,3,NaN,0
12230915,2,4,11.954882,1
12230915,2,5,12.408561,1
12230915,2,6,48.717538,1
12230915,2,7,NaN,0
12230915,2,8,21.035974,1
12230915,2,9,29.213882,1
12230915,2,10,14.699517,1
12230915,2,11,21.879772,1
12230915,2,12,17.014879,1
12230915,2,13,27.040571,1
12230915,2,14,24.594451,1
12230915,2,15,42.454712,1
12230915,2,16,31.312890,1
12230915,2,17,23.862937,1
12230915,2,18,36.184562,1
13230925,1,1,46.023510,1
13230925,1,2,20.828339,1
13230925,1,3,25.165987,1
13230925,1,4,15.292905,1
13230925,1,5,38.353703,1
13230925,1,6,15.955635,1
13230925,1,7,51.198779,1
13230925,1,8,50.742455,1
13230925,1,9,30.328998,1
13230925,1,10,40.249524,1
13230925,1,11,34.156855,1
13230925,1,12,37.253132,1
13230925,1,13,47.953381,1
13230925,1,14,23.761336,1
13230925,1,15,29.343480,1
13230925,1,16,42.056847,1
13230925,1,17,50.249331,1
13230925,1,18,49.679343,1
13230925,2,1,28.435845,1
13230925,2,2,18.979633,1
13230925,2,3,NaN,0
13230925,2,4,28.818647,1
13230925,2,5,49.526377,1
13230925,2,6,NaN,0
13230925,2,7,27.433092,1
13230925,2,8,28.025067,1
13230925,2,9,31.204676,1
13230925,2,10,47.988666,1
13230925,2,11,34.990062,1
13230925,2,12,NaN,0
13230925,2,13,20.875230,1
13230925,2,14,22.846113,1
13230925,2,15,29.986013,1
13230925,2,16,18.854198,1
13230925,2,17,18.610669,1
13230925,2,18,50.326115,1
14230927,1,1,50.377459,1
14230927,1,2,NaN,0
14230927,1,3,35.028310,1
14230927,1,4,25.435464,1
14230927,1,5,24.889467,1
14230927,1,6,37.971338,1
14230927,1,7,13.500094,1
14230927,1,8,16.499298,1
14230927,1,9,21.489355,1
14230927,1,10,29.844364,1
14230927,1,11,45.084766,1
14230927,1,12,33.680321,1
14230927,1,13,26.477847,1
14230927,1,14,47.314622,1
14230927,1,15,53.674527,1
14230927,1,16,57.296756,1
14230927,1,17,43.007916,1
14230927,1,18,19.185789,1
14230927,2,1,2.325680,1
14230927,2,2,23.970307,1
14230927,2,3,25.921775,1
14230927,2,4,24.726123,1
14230927,2,5,2.602284,1
14230927,2,6,21.460031,1
14230927,2,7,15.955539,1
14230927,2,8,14.642703,1
14230927,2,9,18.020585,1
14230927,2,10,28.138836,1
14230927,2,11,23.671578,1
14230927,2,12,36.079425,1
14230927,2,13,22.978349,1
14230927,2,14,22.004663,1
14230927,2,15,28.161050,1
14230927,2,16,47.911613,1
14230927,2,17,18.853288,1
14230927,2,18,17.276217,1
15230929,1,1,27.920555,1
15230929,1,2,21.494552,1
15230929,1,3,48.621986,1
15230929,1,4,58.847386,1
15230929,1,5,50.139453,1
15230929,1,6,30.412431,1
15230929,1,7,13.002215,1
15230929,1,8,21.629231,1
15230929,1,9,53.118580,1
15230929,1,10,15.558459,1
15230929,1,11,19.141464,1
15230929,1,12,38.822804,1
15230929,1,13,13.147397,1
15230929,1,14,NaN,0
15230929,1,15,26.222876,1
15230929,1,16,9.425567,1
15230929,1,17,13.300569,1
15230929,1,18,36.450725,1
15230929,2,1,2.459408,1
15230929,2,2,23.441605,1
15230929,2,3,25.576303,1
15230929,2,4,14.286983,1
15230929,2,5,NaN,0
15230929,2,6,22.359456,1
15230929,2,7,42.769436,1
15230929,2,8,15.448483,1
15230929,2,9,15.398635,1
